order_id,amount,order_date,status,customer_name,customer_contact
ORD001,168.00,2026-07-20,已签收,张三,zhangsan@test.com
ORD002,45.90,2026-07-25,运输中,李四,lisi@test.com
ORD003,188.00,2026-07-26,已发货未签收,王五,wangwu@test.com
ORD004,599.00,2026-07-22,已发货未签收,赵六,zhaoliu@test.com
ORD005,88.50,2026-07-27,已发货未签收,孙七,sunqi@test.com
ORD006,258.00,2026-07-24,已发货未签收,周八,zhouba@test.com
ORD007,35.00,2026-07-23,已签收,吴九,wujiu@test.com
ORD008,150.00,2026-07-27,已发货未签收,郑十,zhengshi@test.com
ORD009,89.00,2026-07-25,已签收,钱十一,qian11@test.com
ORD010,150.00,2026-07-13,已发货未签收,刘十二,liu12@test.com
ORD011,50.00,2026-07-25,已发货未签收,陈十三,chen13@test.com
